FID,Id,Status,PIN,X,Y,Area,Prev_Area,Pct_Change,Comment,Shape_Leng,Shape_Area,Shape__Area,Shape__Length
12841,,Existing,095-10-09-12.42-6400,384517.8,1485632.84,2325.95,0,0, ,208.877542094,2325.94787749,361.62890625,82.3467772091043
12842,,Existing,095-10-09-12.42-6700,384456.74,1485463.71,2571.17,0,0, ,229.202079587,2571.17045208,399.74609375,90.3904453729103
12843,,Existing,095-10-09-12.42-3700,384629.83,1485897.93,2731.36,0,0, ,246.694474191,2731.3632287,424.6875,97.2471540426835
12844,,Existing,095-10-09-12.42-3600,384482.21,1485897.14,2572.82,0,0, ,224.772359424,2572.82013558,400.0234375,88.5904419479503
12845,,Existing,095-10-09-12.42-3300,384192.49,1485893.01,1937.84,0,0, ,186.923030413,1937.84023639,301.30078125,73.6764917812575
12846,,Existing,095-10-09-12.42-3200,384080.28,1485890.71,3465.28,0,0, ,294.610745624,3465.27078644,538.80078125,116.086399595373
12847,,Existing,095-10-09-12.42-3000,383952.17,1485884.76,2247.98,0,0, ,200.254796992,2247.97031005,349.515625,78.9228489857566
12848,,Existing,095-10-09-12.42-2500,383933.47,1486063.12,3394.98,0,0, ,277.71030771,3394.98796529,527.859375,109.502514826515
12849,,Existing,095-10-09-12.42-2500,383976.98,1486026.61,239.9,0,0, ,70.6369978413,239.903481654,37.296875,27.85939552609
12850,,Existing,095-10-09-12.42-2400,384038.69,1486069.79,2484.08,0,0, ,211.918767647,2484.07866376,386.23046875,83.5093404457854
12851,,Existing,095-10-09-12.42-2300,384136.56,1486069.2,2368.97,0,0, ,211.983815294,2368.970114,368.3359375,83.5394552174973
12852,,Existing,095-10-09-12.42-2200,384258.15,1486065.1,3634.99,0,0, ,310.406210725,3634.98249728,565.1796875,122.354396406251
12853,,Existing,095-10-09-12.42-1900,384676.83,1486072.1,2857.48,0,0, ,234.487695493,2857.47594529,444.296875,92.4082349010716
12854,,Existing,095-10-09-12.42-3500,384376.1,1485892.39,2738.11,0,0, ,247.264377375,2738.11007509,425.72265625,97.4653344648222
12855,,Existing,095-10-09-12.42-4700,384592.41,1485747.8,2740.87,0,0, ,246.760495377,2740.86382055,426.140625,97.2629046005323
12856,,Existing,095-10-09-12.42-3400,384280.3,1485894.5,2001.02,0,0, ,198.073705376,2001.00946547,311.12109375,78.0903999366705
12857,,Existing,095-10-09-12.42-2000,384531,1486072.02,1907.92,0,0, ,181.795555075,1907.92334806,296.6484375,71.6448330270084
12858,,New,095-10-09-12.42-1100,384609.86,1486314.35,179.52,0,0, ,54.0522904917,179.519273903,27.91796875,21.3082430331004
12859,,Existing,095-10-09-12.42-600,384338.89,1486367.1,4224.79,0,0, ,358.896128744,4224.76723971,656.90234375,141.519647842982
12860,,Changed,095-10-09-12.42-700,384345.91,1486460.91,2714.98,2095.95,29.53, ,228.785496596,2714.98407726,422.1484375,90.2330255318548
12861,,Existing,095-10-09-12.42-101,383985.51,1486456.13,2915.74,0,0, ,271.784535152,2915.74663146,453.37109375,107.114780903248
12862,,Existing,095-10-09-12.13-331,384301.88,1486544.08,2747.94,0,0, ,241.446444456,2747.9343941,427.265625,95.1861707642333
12863,,Existing,095-10-09-12.13-500,384574.62,1486555,4563.48,0,0, ,334.067300768,4563.45918999,709.57421875,131.719725313961
12864,,Existing,095-10-09-12.13-303,384085.65,1487027.63,3131.55,0,0, ,254.795549986,3131.54403522,486.94921875,100.457012385644
12865,,Existing,095-10-09-12.13-318,384186.63,1486851.93,3816.82,0,0, ,307.249385491,3816.79017849,593.47265625,121.13719388159
12866,,Existing,095-10-09-12.13-808,384569.98,1486859.91,2762.69,0,0, ,248.138152894,2762.68350698,429.578125,97.832628669585
12867,,Existing,095-10-09-12.13-700,384690.21,1486742.58,3056.8,0,0, ,311.260978024,3056.81959293,475.31640625,122.744753200784
12868,,Existing,095-10-09-12.13-325,384005.4,1486637.27,3729.93,0,0, ,287.455916265,3729.92117594,579.9609375,113.371186747339
12869,,Existing,095-10-09-12.13-807,384484.56,1486856.41,2957.18,0,0, ,245.28308826,2957.17232042,459.8203125,96.730393998976
12870,,Existing,095-10-09-12.13-800,384679.52,1486860.19,3622.41,0,0, ,285.92374492,3622.41351419,563.265625,112.715160263425
12871,,Existing,095-10-09-12.42-1100,384668.61,1486267.04,3038.15,0,0, ,240.527479171,3038.14866024,472.390625,94.7679701642508
12872,,Existing,095-10-09-12.42-1000,384516.53,1486275.6,2285.8,0,0, ,214.661909486,2285.77780791,355.4140625,84.5898386555468
12873,,Existing,095-10-09-12.42-500,384327.38,1486271.06,2485.18,0,0, ,226.666454566,2485.18352593,386.41015625,89.3343232500057
12874,,Existing,095-10-09-12.42-400,384174.32,1486277.2,2364.45,0,0, ,229.967328085,2364.46252012,367.6484375,90.6519567678267
12875,,Existing,095-10-09-12.42-300,384018.16,1486273.34,2917.22,0,0, ,255.965356117,2917.23134236,453.58203125,100.869424341663
12876,,Existing,095-10-09-12.13-326,383923.27,1486652.87,2504.48,0,0, ,229.921301629,2504.48842672,389.41796875,90.6913400154451
12877,,Existing,095-10-09-12.13-315,383886.98,1486849.31,2894.58,0,0, ,235.92647449,2894.57234823,450.08203125,93.0277025629383
12878,,Existing,095-10-09-12.13-316,383982.33,1486849.92,2598.09,0,0, ,224.60138978,2598.10857935,403.98828125,88.529340515129
12879,,Existing,095-10-09-12.13-305,383887.9,1487020.71,2974.22,0,0, ,234.124002238,2974.22064919,462.47265625,92.3088042114931
12880,,Existing,095-10-09-12.13-304,383985.37,1487022.44,2778.25,0,0, ,226.366631315,2778.24067569,432,89.2095235079805
