,B01,B02,B03,B04,B05,B06,B07,B08,B8A,B11,B12
6842,1710.0,1576.0,1638.5,1717.0,2077.5,2121.0,2102.5,1910.5,2240.0,2455.5,2307.5
6843,1710.0,1765.0,1781.5,1962.5,2308.0,2406.5,2529.5,2710.5,2620.0,2897.5,2570.0
6844,1497.5,1519.5,1734.0,1770.0,2087.0,2562.5,2705.0,3387.0,2889.0,2753.5,2247.0
6845,1497.5,2037.5,2236.5,2297.0,2200.0,2311.0,2517.0,2959.0,2500.0,2538.5,2264.5
6846,1513.5,1656.5,1840.0,2000.0,2300.5,2851.5,3193.0,3763.0,3520.5,3029.0,2398.0
6847,1513.5,1416.5,1468.0,1512.0,2080.0,2495.0,2593.5,2203.0,2805.5,2429.0,2142.0
6848,1485.5,1503.5,1582.0,1623.5,1832.5,2121.0,2140.5,2299.5,2193.0,2090.0,1944.0
6849,1485.5,1542.5,1614.0,1646.0,1829.5,2208.5,2195.0,2810.0,2512.0,2286.0,2034.5
6850,1397.5,1569.5,1674.0,1742.5,1795.5,2087.5,2134.5,2666.0,2340.5,2388.5,2019.0
6851,1397.5,1435.5,1543.0,1698.0,1764.5,2127.5,2260.0,2703.5,2505.0,2593.5,2157.5
6852,1385.5,1441.5,1618.5,1723.0,2135.5,2791.5,3033.0,3439.0,3393.0,3059.0,2486.0
6853,1385.5,1808.0,1957.5,2082.0,2098.0,2483.5,2796.0,2891.0,2879.0,2714.5,2413.0
6854,1478.0,1329.5,1399.0,1421.0,2041.0,2539.5,2774.0,2364.5,3035.5,2558.5,2219.5
6855,1478.0,1660.5,1874.5,1800.5,2140.5,2777.0,2956.0,3722.0,3254.0,2558.0,2282.5
6856,1548.5,1657.0,1862.5,1963.0,1852.5,2303.5,2214.5,2851.0,2516.0,2366.5,2143.5
6857,1548.5,1496.5,1652.5,1731.0,1962.0,2513.5,2596.5,3257.0,2949.0,2933.5,2399.0
6858,1681.0,1561.5,1621.0,1745.0,2228.0,2341.0,2479.5,2551.5,2605.5,2630.0,2395.5
6859,1681.0,1815.0,1826.0,1783.0,1916.5,2213.5,2277.5,2320.5,2378.5,2337.0,2152.5
6860,1613.5,2435.0,2548.0,2709.5,2770.0,2888.5,2908.5,3314.5,2982.5,3258.0,3279.0
6861,1613.5,1629.0,1664.0,1764.0,2170.5,2233.5,2402.5,2346.5,2479.0,2629.0,2490.5
6862,1447.5,1524.0,1683.5,1859.0,2093.5,2430.0,2557.5,3040.5,2726.0,2603.5,2245.5
6863,1447.5,1969.0,2103.0,2233.0,2272.5,2525.0,2598.5,3057.5,2866.5,3199.0,2700.5
6864,1368.0,1595.0,1762.5,1947.0,2096.0,2417.0,2561.0,2959.0,2828.0,3084.0,2558.0
6865,1368.0,1455.0,1616.0,1763.0,2037.0,2435.0,2776.0,3015.0,3035.5,2930.5,2291.0
6866,1371.5,1491.5,1644.0,1738.0,2103.0,2655.0,2894.5,3203.0,3200.0,3029.5,2333.5
6867,1371.5,1370.5,1427.5,1555.5,1918.0,2331.0,2560.5,2421.5,2796.0,2803.0,2266.0
6868,1415.5,1597.0,1771.0,2062.0,2224.5,2581.5,2775.5,3298.0,3030.5,3181.5,2566.5
6869,1415.5,1934.5,2050.0,2187.0,2381.5,2555.5,2680.5,2791.0,2905.0,3068.0,2638.0
6870,1386.0,1536.5,1795.5,1981.0,2290.5,2511.0,2813.0,3259.0,3057.5,2945.0,2358.0
6871,1386.0,1371.0,1475.5,1517.5,2075.5,2407.5,2635.5,2907.5,2820.0,2688.0,2163.5
6872,1359.5,1294.0,1399.0,1450.5,1958.0,2539.0,2773.0,2827.0,3008.0,2648.5,2060.5
6873,1359.5,1502.0,1651.0,1736.0,2102.5,2474.5,2699.5,3090.5,3025.0,2950.0,2300.0
6874,1424.5,1613.5,1855.5,1988.0,2388.0,2963.5,3157.5,3846.0,3590.5,3125.5,2528.0
6875,1424.5,1541.5,1772.5,1944.5,2609.5,3383.5,3801.0,3986.5,4182.5,3190.5,2446.5
6876,1378.5,1495.5,1710.0,1757.0,2377.5,3472.5,3942.0,4322.5,4258.5,3159.5,2409.0
6877,1378.5,1395.0,1538.0,1507.5,1991.5,2764.5,2991.0,3661.0,3273.0,2874.0,2222.0
6878,1344.5,1356.0,1407.0,1533.5,1814.5,2158.5,2303.5,2283.0,2617.0,2873.0,2303.0
6879,1344.5,1457.5,1549.5,1727.0,2104.5,2527.5,2685.0,2793.0,3052.5,2978.5,2342.0
6880,1330.0,1434.0,1531.0,1710.5,2008.0,2317.5,2583.0,2804.5,2844.5,2958.0,2401.0
6881,1330.0,1371.0,1468.5,1635.5,1903.0,2255.5,2468.0,2519.5,2755.0,2922.0,2301.0
6882,1475.5,1403.5,1490.5,1676.0,1890.5,2150.0,2401.0,2616.0,2657.0,2964.0,2385.5
6883,1475.5,2165.5,2261.0,2507.0,2467.5,2636.0,2675.5,3106.0,2886.5,3175.5,2770.5
6884,1583.5,1580.5,1598.0,1653.0,1786.0,1819.5,1849.0,2005.0,1956.0,2351.0,2263.5
6885,1583.5,1852.5,2038.5,2113.0,2275.0,2601.5,2700.5,2919.0,2879.5,3078.0,2669.5
6886,1564.0,1562.0,1793.0,2099.5,2266.0,2529.5,2658.5,3127.0,2904.0,2988.5,2535.5
6887,1564.0,2220.5,2404.0,2564.0,2272.0,2470.0,2562.0,3306.5,2678.0,2847.5,2525.0
6888,1768.5,1450.0,1527.5,1602.5,2148.0,2120.0,2195.0,1676.0,2190.5,2602.0,2424.0
6889,1768.5,2712.5,2886.0,3049.5,3093.0,3228.5,3250.5,3377.0,3403.0,3432.0,3120.5
6890,1685.0,2245.0,2497.0,2528.0,2691.5,3274.0,3433.5,3516.5,3696.5,3523.0,2979.0
6891,1685.0,1993.0,2119.5,2159.5,2355.5,2522.0,2695.5,2572.0,2812.0,2966.0,2613.5
6892,1621.0,1690.0,1819.5,2092.0,2343.5,2527.0,2636.5,3106.5,2692.0,3048.0,2695.0
6893,1621.0,1908.5,2036.0,2085.0,2214.0,2810.0,2966.5,2948.5,3167.5,2687.5,2311.0
6894,1695.5,1599.5,1669.0,1858.0,2189.0,2591.5,2713.0,3034.0,2955.5,2773.5,2450.0
6895,1695.5,1940.0,2016.5,2087.0,2323.5,2566.5,2722.0,2857.5,2923.5,2956.0,2692.5
6896,1782.5,2045.0,2226.5,2342.0,2649.0,3081.5,3250.0,3338.0,3433.5,3335.0,2976.5
6897,1782.5,1739.0,1951.5,2047.0,2429.0,2854.0,2983.5,3391.0,3235.5,3095.5,2672.5
6898,1715.0,1576.0,1738.5,1840.0,2394.5,2931.0,3101.0,3327.0,3349.5,3068.5,2589.0
6899,1715.0,2046.0,2240.5,2401.0,2440.5,2940.5,3149.5,3545.0,3424.0,3267.0,2780.0
6900,1508.5,1715.0,1810.0,1847.5,2097.0,2574.0,2861.5,3344.0,3056.0,2676.5,2154.0
6901,1508.5,1496.0,1549.0,1657.0,1799.0,2014.5,2089.0,1893.5,2202.5,2207.0,1982.5
6902,1673.5,1905.0,1967.5,1972.0,1945.5,2073.5,2123.5,2338.0,2300.5,2169.5,2024.0
6903,1673.5,2112.5,2332.0,2438.0,2372.0,2730.5,2996.0,4000.5,2941.5,2636.5,2386.5
6904,1560.0,1494.5,1618.0,1785.0,1957.5,2299.0,2447.0,2660.0,2633.5,2804.5,2279.0
6905,1560.0,1554.0,1696.5,1753.0,1960.5,2604.0,3146.5,3834.0,3346.5,2875.0,2169.5
6906,1328.5,1424.5,1489.0,1515.0,1761.5,2494.5,2951.5,3258.0,3217.5,2680.0,2022.5
6907,1328.5,1358.0,1521.0,1603.5,1879.5,2371.0,2724.0,2796.0,2950.5,2879.0,2229.5
6908,1291.5,1388.0,1474.5,1594.5,1895.5,2230.5,2570.5,2699.0,2801.0,2637.5,2069.5
6909,1280.5,1283.0,1351.5,1448.0,1682.5,1950.5,2122.0,2277.0,2410.5,2600.5,2058.5
6910,1280.5,1369.5,1500.0,1584.5,1851.5,2225.5,2432.0,2640.0,2722.5,2783.5,2110.5
6911,1280.5,1384.5,1560.0,1716.0,2078.5,2803.0,3018.5,3199.5,3465.0,3098.5,2245.5
6912,1280.5,1496.5,1679.0,1930.0,2160.5,2791.0,3095.0,3403.5,3431.0,3223.0,2379.0
6913,1280.5,1348.5,1406.0,1529.5,1851.0,2221.0,2387.5,2255.0,2672.5,2939.5,2257.5
6914,1285.0,1360.0,1504.0,1660.5,2093.5,2796.5,3093.0,2947.5,3458.5,3059.0,2281.5
6915,1285.0,1540.0,1845.5,1885.5,2522.0,3677.5,4155.0,4726.5,4584.0,3326.5,2371.0
6916,1302.0,1550.0,1752.0,2007.0,2411.5,3107.5,3525.0,3892.0,3816.0,3276.0,2376.0
6917,1302.0,1445.0,1545.0,1801.5,2044.5,2627.0,2856.0,3024.5,3223.5,3112.5,2310.5
6918,1403.0,1373.0,1452.0,1576.0,1944.5,2606.5,2718.0,3053.0,3072.5,2617.5,2063.5
