,B01,B02,B03,B04,B05,B06,B07,B08,B8A,B11,B12
19451,1660.0,1759.5,1898.0,2398.0,2615.0,3515.5,3844.5,4007.0,4016.0,4130.5,3393.0
19452,1545.0,1899.5,2130.0,2057.0,2391.5,3501.5,3690.5,4396.0,4052.0,3209.5,2552.5
19453,1545.0,1538.5,1629.0,1499.0,1948.0,2823.5,3224.0,3294.0,3300.0,2686.5,2114.5
19454,1443.5,1409.0,1590.0,1426.5,1951.5,3353.0,4001.5,3651.5,4205.0,2888.5,2090.0
19455,1443.5,1705.0,1839.0,1750.0,1977.5,3245.0,3828.5,3542.5,3971.0,2962.0,2104.0
19456,1379.0,1275.0,1380.5,1223.0,1735.0,3429.0,4161.5,3892.0,4440.0,2708.0,1795.5
19457,1379.0,1288.5,1484.5,1247.5,1780.0,3588.5,4354.5,4304.0,4563.0,2777.5,1824.5
19458,1390.0,1307.5,1495.0,1310.0,1832.0,3399.5,4041.0,3970.5,4269.5,2821.0,1894.0
19459,1422.0,1405.0,1563.5,1412.0,2118.0,3584.5,4142.5,3859.5,4487.0,3284.0,2276.5
19460,1422.0,1643.0,1848.0,1660.0,2104.0,3303.0,3675.5,3546.0,3915.5,2990.0,2227.0
19461,1296.5,1309.5,1517.0,1282.5,1911.0,4000.0,4650.0,4918.0,5016.0,2933.5,1931.5
19462,1296.5,1305.0,1581.0,1298.5,1818.0,3587.5,4160.0,4552.5,4542.5,2892.0,1871.5
19463,1296.5,1223.5,1428.5,1190.0,1717.0,3712.5,4359.5,4600.5,4670.0,2698.5,1721.0
19464,1280.5,1316.5,1557.5,1258.5,1972.5,4017.5,4623.5,4857.5,5005.0,3026.0,1914.0
19465,1280.5,1282.5,1591.5,1258.5,1956.5,3963.5,4514.5,4425.5,4881.5,3058.0,1989.5
19466,1336.5,1262.0,1604.5,1280.5,2023.0,3658.5,4124.0,4238.0,4431.0,2840.0,1918.0
19467,1336.5,1393.5,1645.5,1394.0,2005.5,3522.5,4109.0,4228.0,4296.5,2957.5,1991.5
19468,1499.0,1571.0,1775.0,1653.0,2140.0,3237.5,3548.5,4166.0,3938.0,3254.0,2475.0
19469,1499.0,1860.0,2117.0,2051.0,2327.5,3155.5,3589.5,3877.5,3627.5,3288.5,2639.0
19470,1555.5,1658.5,1825.0,1757.0,2045.0,2999.0,3538.5,3285.5,3624.5,3021.0,2341.0
19471,1555.5,1481.5,1684.5,1592.5,2004.0,3350.0,3890.0,4036.0,4273.0,3130.0,2263.0
19472,1513.5,1631.0,1811.0,1831.0,2195.0,2987.5,3389.5,3386.5,3538.5,3074.5,2396.0
19473,1501.0,1308.0,1500.0,1275.5,1783.0,3033.5,3559.5,3629.0,3781.5,2604.0,1831.0
19474,1501.0,1362.5,1469.5,1292.5,1759.0,3133.0,3665.0,3566.5,3930.0,2622.5,1856.5
19475,1501.0,1732.0,1798.0,1779.0,1955.0,3095.0,3587.0,2719.0,3717.5,2862.0,2228.5
19476,1555.0,1892.0,1996.5,1955.5,2205.5,2931.0,3176.5,3169.0,3413.5,3043.0,2471.0
19477,1555.0,1396.0,1592.0,1424.5,1953.5,3289.5,3878.5,4437.0,4098.0,3012.5,2186.0
19478,1501.5,1568.5,1741.0,1735.0,2220.0,3177.0,3564.0,3484.0,3691.5,3126.5,2423.0
19479,1501.5,1406.5,1625.0,1381.0,2049.5,3365.5,3819.0,4049.0,4079.0,3019.0,2190.0
19480,1441.0,1774.0,1951.0,1907.0,2174.0,3443.5,3903.5,4145.0,4176.5,3490.0,2476.0
19481,1441.0,1393.0,1575.0,1430.5,1968.0,3130.5,3599.5,3593.5,3809.5,3169.5,2265.0
19482,1483.0,1557.5,1759.5,1785.0,2232.0,3263.0,3730.0,3844.5,4020.0,3852.5,2724.0
19483,1483.0,1606.0,1811.5,1853.5,2286.5,3390.5,3797.0,3976.0,4083.0,3998.5,2820.5
19484,1508.0,1595.0,1800.5,1805.5,2356.0,3441.0,3886.0,4020.0,4171.5,4077.5,2892.0
19485,1508.0,1613.0,1810.0,1839.5,2339.5,3398.5,3822.5,3881.5,4122.5,4018.5,2886.5
19486,1497.0,1599.5,1823.0,1869.5,2332.0,3369.5,3818.5,4050.0,4131.5,3997.5,2876.5
19487,1497.0,1671.0,1928.5,1959.0,2376.0,3406.0,3828.0,4010.0,4149.5,4054.5,2914.5
19488,1432.5,1546.5,1762.5,1830.0,2230.0,3350.0,3761.0,4042.0,4120.5,3981.0,2759.5
19489,1432.5,1542.0,1755.5,1746.0,2234.0,3334.0,3690.0,4002.0,4170.5,3782.0,2687.5
19490,1336.5,1271.0,1419.5,1233.0,1633.0,3224.5,3921.5,3478.0,4130.5,2651.0,1782.5
19491,1336.5,1259.0,1386.5,1222.5,1638.5,3492.0,4163.5,4179.5,4515.0,2611.0,1697.0
19492,1325.0,1307.5,1489.5,1237.0,1661.0,3319.5,3975.5,4633.0,4237.5,2688.5,1741.0
19493,1325.0,1348.5,1489.5,1280.0,1695.5,3472.5,4238.0,4701.5,4483.0,2698.5,1784.0
19494,1417.5,1459.5,1594.0,1436.0,1760.0,3606.0,4551.5,4540.0,4774.0,3039.5,2019.5
19495,1417.5,1476.5,1606.5,1408.5,1769.0,3673.0,4606.5,4662.0,4833.5,2989.5,2000.5
19496,1450.5,1491.0,1648.5,1502.0,1860.5,3571.0,4470.5,4486.0,4639.5,3046.5,2058.0
19497,1450.5,1505.5,1642.5,1482.0,1848.0,3575.0,4472.5,4512.0,4635.0,3010.5,2049.0
19498,1392.5,1413.0,1553.0,1362.5,1726.0,3709.5,4797.5,4836.5,5033.5,2906.0,1919.5
19499,1392.5,1446.0,1602.0,1449.0,1805.5,3665.0,4632.0,4680.0,4858.5,3024.0,2022.0
19500,1438.0,1487.5,1868.0,1430.5,2303.5,4712.5,5650.5,6113.0,6106.0,3787.0,2378.5
19501,1454.5,1507.5,1811.0,1652.0,2532.5,4116.0,4840.0,4697.0,5126.5,4026.5,2818.5
19502,1454.5,1450.5,1704.5,1640.5,2352.5,3565.0,4049.0,3964.0,4462.5,3977.5,2816.0
19503,1406.5,1514.0,1825.5,1713.0,2324.0,3983.5,4655.5,4658.0,5099.5,3804.5,2451.5
19504,1406.5,1464.0,1766.5,1420.0,2254.5,4447.0,5395.5,5901.0,5866.5,3509.5,2226.5
19505,1390.0,1318.0,1486.0,1281.5,1829.0,3640.5,4390.0,4303.0,4614.5,2782.0,1850.0
19506,1390.0,1348.0,1645.0,1365.0,1937.5,3633.0,4362.0,4854.0,4632.0,2942.5,1944.5
19507,1409.0,1451.5,1710.5,1458.5,2027.5,3610.0,4379.5,4837.5,4556.0,3363.5,2224.0
19508,1409.0,1341.0,1506.5,1313.5,1916.5,3428.5,4141.5,4476.5,4327.0,3137.0,2105.5
19509,1385.0,1482.0,1787.5,1555.5,2102.0,3809.0,4545.5,5358.0,4867.5,3335.5,2248.5
19510,1385.0,1372.0,1547.5,1355.5,1836.5,3560.0,4273.0,4520.5,4533.5,2916.5,1990.5
19511,1372.0,1294.0,1524.5,1262.0,1698.5,3574.0,4373.5,4704.0,4617.5,2817.0,1805.0
19512,1372.0,1373.5,1636.5,1363.0,1874.5,3784.0,4630.5,5144.5,4864.0,3205.0,2060.5
19513,1381.5,1411.5,1709.5,1429.0,2143.5,3896.0,4602.5,5117.5,4941.0,3115.0,2107.5
19514,1381.5,1433.0,1631.5,1432.5,1914.5,3106.5,3651.0,3803.0,3742.0,2696.0,1913.0
19515,1457.0,1272.0,1475.5,1250.5,1849.5,3540.5,4080.5,4009.5,4315.0,2951.5,1974.5
19516,1457.0,1547.5,1786.0,1650.5,2103.5,3596.5,4132.0,4519.5,4498.0,3455.0,2278.5
19517,1559.0,1477.5,1725.0,1521.0,2336.5,3636.5,4104.5,4487.5,4486.0,3665.5,2618.5
19518,1559.0,1610.0,1819.5,1742.0,2457.0,3680.5,4249.0,4158.0,4505.0,3610.0,2718.5
19519,1518.0,1726.5,1789.0,1702.0,2029.0,2946.5,3369.5,2948.5,3648.0,2744.5,2120.5
19520,1518.0,1650.0,1761.0,1690.0,1999.5,2959.0,3359.0,3034.5,3405.5,2705.0,2102.5
19521,1575.5,1640.0,1884.0,1748.5,2387.0,3735.5,4303.0,4270.0,4564.5,3369.0,2564.0
19522,1575.5,1857.5,2106.0,1973.0,2467.5,3753.5,4257.5,4416.0,4454.0,3674.5,2727.0
19523,1626.0,1845.5,2083.0,2060.0,2527.0,3333.5,3719.5,4126.0,3914.0,3571.0,2855.0
19524,1626.0,1807.0,1882.5,1857.0,2356.5,3284.0,3674.5,3612.5,3842.5,3372.5,2617.0
19525,1505.0,1364.5,1556.0,1325.0,1939.5,3782.5,4580.0,4647.0,4730.0,3150.0,2077.5
19526,1505.0,1378.5,1576.0,1407.5,1950.5,3524.0,4209.0,4211.5,4587.5,3090.5,2131.0
19527,1517.5,1425.5,1611.0,1471.5,2076.0,3424.5,4033.5,4296.0,4454.5,3185.0,2216.5
19528,1517.5,1392.5,1573.0,1407.5,2034.5,3421.5,4031.5,4301.5,4335.0,3036.5,2134.5
19529,1589.0,1407.0,1638.0,1409.5,2089.5,3867.5,4565.0,4744.0,4851.5,3298.5,2190.5
19530,1589.0,1345.5,1544.0,1339.5,2024.5,3676.0,4323.5,4107.0,4655.5,3215.5,2141.5
19531,1671.0,1555.0,1783.0,1734.0,2258.5,3166.0,3663.0,4164.0,3866.5,3420.5,2602.0
19532,1671.0,2238.0,2337.0,2407.0,2556.5,3155.0,3478.5,3537.0,3624.0,3491.5,2917.5
