,Longitude,Latitude,Natural Elevation
178,-74.243,40.54,0.0
179,-74.242,40.5,8.881
180,-74.242,40.501,15.294
181,-74.242,40.502,23.188
182,-74.242,40.503,27.632
183,-74.242,40.504,37.193
184,-74.242,40.505,50.647
185,-74.242,40.506,57.8985
186,-74.242,40.507,69.853
187,-74.242,40.508,76.666
188,-74.242,40.509,74.527
189,-74.242,40.51,73.195
190,-74.242,40.511,70.67
191,-74.242,40.512,65.597
192,-74.242,40.513,57.9925
193,-74.242,40.514,43.511
194,-74.242,40.515,35.7
195,-74.242,40.517,9.586
196,-74.242,40.518,6.044
197,-74.242,40.529,23.1475
198,-74.242,40.53,23.0
199,-74.242,40.539,46.223
200,-74.242,40.54,51.045
201,-74.241,40.498,7.39
202,-74.241,40.499,7.4605
203,-74.241,40.5,8.994
204,-74.241,40.501,13.698
205,-74.241,40.502,21.538
206,-74.241,40.503,26.731
207,-74.241,40.504,36.6865
208,-74.241,40.505,48.7775
209,-74.241,40.506,53.27
210,-74.241,40.507,63.13
211,-74.241,40.508,73.4405
212,-74.241,40.509,69.832
213,-74.241,40.51,71.7575
214,-74.241,40.511,69.096
215,-74.241,40.512,66.72399999999999
216,-74.241,40.513,70.98400000000001
217,-74.241,40.514,60.9975
218,-74.241,40.515,41.5535
219,-74.241,40.516,18.098
220,-74.241,40.517,22.002000000000002
221,-74.241,40.518,14.285499999999999
222,-74.241,40.526,0.0
223,-74.241,40.529,37.198
224,-74.241,40.53,31.904
225,-74.241,40.531,23.425
226,-74.241,40.532,22.406
227,-74.241,40.533,22.0045
228,-74.241,40.536,11.961
229,-74.241,40.537,27.427
230,-74.241,40.538,41.8685
231,-74.241,40.539,25.993
232,-74.24,40.499,6.902
233,-74.24,40.5,9.591000000000001
234,-74.24,40.501,13.9245
235,-74.24,40.502,18.148
236,-74.24,40.503,26.963
237,-74.24,40.504,37.423
238,-74.24,40.505,43.1375
239,-74.24,40.506,48.801
240,-74.24,40.507,57.0925
241,-74.24,40.508,70.634
242,-74.24,40.509,63.893
243,-74.24,40.51,66.827
244,-74.24,40.511,66.493
245,-74.24,40.512,69.779
246,-74.24,40.513,75.325
247,-74.24,40.514,82.24000000000001
248,-74.24,40.515,47.946
249,-74.24,40.516,28.8905
250,-74.24,40.517,21.903
251,-74.24,40.518,9.373000000000001
252,-74.24,40.519,10.911
253,-74.24,40.522,27.572
254,-74.24,40.523,26.755
255,-74.24,40.524,27.837
256,-74.24,40.528,42.855
257,-74.24,40.529,45.087
258,-74.24,40.53,47.494
259,-74.24,40.531,43.189499999999995
260,-74.24,40.532,30.952
261,-74.24,40.533,23.591
262,-74.24,40.535,16.176
263,-74.24,40.536,17.994
264,-74.24,40.537,36.9055
265,-74.24,40.538,48.095
266,-74.24,40.539,55.131
267,-74.239,40.499,7.874
268,-74.239,40.5,10.1935
269,-74.239,40.501,16.418
270,-74.239,40.502,17.856
271,-74.239,40.503,25.699
272,-74.239,40.504,32.911
273,-74.239,40.505,36.769
274,-74.239,40.506,43.4715
275,-74.239,40.507,48.3685
276,-74.239,40.508,59.317
277,-74.239,40.509,63.24
278,-74.239,40.51,60.827
279,-74.239,40.511,63.6425
280,-74.239,40.512,67.644
281,-74.239,40.513,73.034
282,-74.239,40.514,78.53
283,-74.239,40.515,69.08449999999999
284,-74.239,40.516,40.484
285,-74.239,40.517,24.966
286,-74.239,40.521,20.283
287,-74.239,40.522,30.3825
288,-74.239,40.523,34.223
289,-74.239,40.524,34.5195
290,-74.239,40.525,30.236
291,-74.239,40.527,47.006
292,-74.239,40.528,39.491
293,-74.239,40.529,23.246
294,-74.239,40.531,48.5
295,-74.239,40.532,45.9885
296,-74.239,40.533,20.652
297,-74.239,40.534,14.765
298,-74.239,40.535,20.32
299,-74.239,40.536,31.3395
300,-74.239,40.537,40.468500000000006
301,-74.239,40.538,51.845
302,-74.238,40.5,10.8865
303,-74.238,40.501,10.559
304,-74.238,40.502,17.756
305,-74.238,40.503,24.253
306,-74.238,40.504,30.5545
307,-74.238,40.505,30.9015
308,-74.238,40.506,37.682
309,-74.238,40.507,43.841
310,-74.238,40.508,54.206
311,-74.238,40.509,57.896
312,-74.238,40.51,60.2225
313,-74.238,40.511,61.167500000000004
314,-74.238,40.512,64.113
315,-74.238,40.513,61.409499999999994
316,-74.238,40.514,65.5995
317,-74.238,40.515,56.949
318,-74.238,40.516,43.7255
319,-74.238,40.517,34.29
320,-74.238,40.521,0.0
321,-74.238,40.523,0.0
322,-74.238,40.524,17.501
323,-74.238,40.528,55.09
324,-74.238,40.531,66.151
325,-74.238,40.533,0.0
326,-74.238,40.534,11.6125
327,-74.238,40.535,37.48
328,-74.238,40.536,70.3575
329,-74.238,40.537,67.22
330,-74.238,40.538,73.9085
331,-74.238,40.539,65.424
